日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2017-01-03,3105.31,3135.92,3136.46,3105.31,141567186,159887138816.0,1.0,1.04,32.28,0.3
2017-01-04,3133.79,3158.79,3160.1,3130.11,167860851,195914293248.0,0.96,0.73,22.87,0.35
2017-01-05,3157.91,3165.41,3168.5,3154.28,174727644,199692025856.0,0.45,0.21,6.62,0.37
2017-01-06,3163.78,3154.32,3172.03,3153.02,183708966,207296036864.0,0.6,-0.35,-11.09,0.39
2017-01-09,3148.53,3171.24,3173.14,3147.74,171714076,192110579712.0,0.81,0.54,16.92,0.36
2017-01-10,3167.57,3161.67,3174.58,3157.33,179759217,194963218432.0,0.54,-0.3,-9.57,0.38
2017-01-11,3156.69,3136.75,3167.03,3136.27,178362222,189186457600.0,0.97,-0.79,-24.92,0.38
2017-01-12,3133.6,3119.29,3144.97,3115.98,148889239,161922297856.0,0.92,-0.56,-17.46,0.31
2017-01-13,3116.08,3112.76,3130.51,3102.16,156274214,174438555648.0,0.91,-0.21,-6.53,0.33
2017-01-16,3104.49,3103.43,3105.14,3044.29,257885996,262826041344.0,1.95,-0.3,-9.33,0.54
2017-01-17,3087.03,3108.77,3108.91,3072.34,136157860,154757554176.0,1.18,0.17,5.34,0.29
2017-01-18,3104.77,3113.01,3123.72,3098.59,131780129,144546717696.0,0.81,0.14,4.24,0.28
2017-01-19,3104.97,3101.3,3115.78,3094.0,123851420,139280461824.0,0.7,-0.38,-11.71,0.26
2017-01-20,3095.82,3123.14,3125.66,3095.21,122366776,141471809536.0,0.98,0.7,21.84,0.26
2017-01-23,3125.42,3136.77,3145.84,3125.42,132660393,148145737728.0,0.65,0.44,13.63,0.28
2017-01-24,3134.59,3142.55,3149.53,3131.22,125973880,134553853952.0,0.58,0.18,5.78,0.27
2017-01-25,3137.65,3149.55,3151.47,3133.19,112073828,126765830144.0,0.58,0.22,7.0,0.24
2017-01-26,3149.22,3159.17,3163.1,3148.91,113876772,125013192704.0,0.45,0.31,9.62,0.24
2017-02-03,3160.08,3140.17,3162.68,3136.01,92224737,108023660544.0,0.84,-0.6,-19.0,0.19
2017-02-06,3143.09,3156.98,3158.84,3135.39,127198282,150067695616.0,0.75,0.54,16.81,0.27
2017-02-07,3154.4,3153.09,3159.54,3140.03,128337441,152559087616.0,0.62,-0.12,-3.89,0.27
2017-02-08,3148.09,3166.98,3167.45,3132.03,144920187,170854125568.0,1.12,0.44,13.89,0.31
2017-02-09,3164.69,3183.18,3186.84,3162.57,191640328,209723158528.0,0.77,0.51,16.2,0.4
